,id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,Attack_type
0,38667,1883,tcp,mqtt,32.011598,9,5,3,3,0.281148,0.156193,0.437341,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,761.985779,29729182.958603,32011597.87178,4001449.733973,10403073.630178,4438.877106,1511693.954468,2026391.0293580003,506597.75733900006,680406.147126,761.985779,29729182.958603,32011597.87178,2462430.605522,8199746.707142998,3.373777,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2282414.913177,2282414.913177,2282414.913177,2282414.913177,0.0,29729182.958603,29729182.958603,29729182.958603,29729182.958603,0.0,64240,26847,502,MQTT_Publish
1,51143,1883,tcp,mqtt,31.883584000000006,9,5,3,3,0.282277,0.15682100000000002,0.439097,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,247.001648,29855277.061462,31883584.022522,3985448.002815,10463455.560613,4214.048386,1576435.804367,1876260.995865,469065.248966,741351.686212,247.001648,29855277.061462,31883584.022522,2452583.386348,8242459.024786,3.3873230000000003,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2028306.96106,2028306.96106,2028306.96106,2028306.96106,0.0,29855277.061462,29855277.061462,29855277.061462,29855277.061462,0.0,64240,26847,502,MQTT_Publish
2,44761,1883,tcp,mqtt,32.124053,9,5,3,3,0.280164,0.155647,0.435811,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,74.0,8.222222,12.852799,0.0,21.0,30.0,6.0,8.689074,0.0,33.0,104.0,7.428571000000002,11.229866,283.956528,29842149.019241,32124053.001404,4015506.625175,10442377.920997,2456.903458,1476048.946381,2013769.865036,503442.466259,660344.3600270001,283.956528,29842149.019241,32124053.001404,2471081.0001080004,8230592.556842999,3.23745,3.0,1.666667,24.666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2281903.982162,2281903.982162,2281903.982162,2281903.982162,0.0,29842149.019241,29842149.019241,29842149.019241,29842149.019241,0.0,64240,26847,502,MQTT_Publish
3,60893,1883,tcp,mqtt,31.961063,9,5,3,3,0.281593,0.15644,0.438033,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,74.0,8.222222,12.852799,0.0,21.0,30.0,6.0,8.689074,0.0,33.0,104.0,7.428571000000002,11.229866,288.963318,29913774.967194,31961063.146591,3995132.893324,10482528.222589,3933.906555,1551892.04216,1883784.05571,470946.01392700005,724569.317911,288.963318,29913774.967194,31961063.146591,2458543.318969,8257786.423083999,3.253959,3.0,1.666667,24.666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2047288.179398,2047288.179398,2047288.179398,2047288.179398,0.0,29913774.967194,29913774.967194,29913774.967194,29913774.967194,0.0,64240,26847,502,MQTT_Publish
4,51087,1883,tcp,mqtt,31.902362,9,5,3,3,0.282111,0.156728,0.438839,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,387.907028,29814704.89502,31902361.869812,3987795.233727,10447019.098718,3005.027771,1632083.177567,1935984.134674,483996.033669,768543.3903130002,387.907028,29814704.89502,31902361.869812,2454027.836139,8230583.826551,3.385329,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2087656.974792,2087656.974792,2087656.974792,2087656.974792,0.0,29814704.89502,29814704.89502,29814704.89502,29814704.89502,0.0,64240,26847,502,MQTT_Publish
5,48579,1883,tcp,mqtt,31.869686,9,5,3,3,0.2824,0.156889,0.439289,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,392.913818,29825548.171997,31869686.126709007,3983710.765839,10451334.018163,7521.152496,1547556.877136,1879539.9665830003,469884.991646,722156.356697,392.913818,29825548.171997,31869686.126709007,2451514.317439,8233270.044544,3.3888,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2044137.954712,2044137.954712,2044137.954712,2044137.954712,0.0,29825548.171997,29825548.171997,29825548.171997,29825548.171997,0.0,64240,26847,502,MQTT_Publish
6,54063,1883,tcp,mqtt,32.094711,9,5,3,3,0.28042,0.155789,0.436209,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,385.046005,29823416.948318,32094711.065292,4011838.883162,10436858.369484,3123.998642,1503982.067108,2014587.163925,503646.79098100006,677274.727026,385.046005,29823416.948318,32094711.065292,2468823.9280990004,8226046.451847998,3.36504,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2271294.1169740004,2271294.1169740004,2271294.1169740004,2271294.1169740004,0.0,29823416.948318,29823416.948318,29823416.948318,29823416.948318,0.0,64240,26847,502,MQTT_Publish
7,33457,1883,tcp,mqtt,32.104011,9,5,3,3,0.280339,0.155744,0.436083,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,298.023224,29795433.044434004,32104011.058807,4013001.382351,10425103.716337,2321.004868,1516274.929047,2045275.92659,511318.981647,681176.138394,275.13504,29795433.044434004,32104011.058807,2469539.312216,8217494.471107,3.364066,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2308578.014374,2308578.014374,2308578.014374,2308578.014374,0.0,29795433.044434004,29795433.044434004,29795433.044434004,29795433.044434004,0.0,64240,26847,502,MQTT_Publish
8,52181,1883,tcp,mqtt,32.026967,9,5,3,3,0.281013,0.156118,0.437132,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,369.07196,29661617.040634006,32026967.048645,4003370.881081,10374502.505825,2197.980881,1521419.048309,2017971.038818,504492.759705,687716.529185,84.16175799999998,29661617.040634006,32026967.048645,2463612.849896,8178452.378739,3.372158,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2365350.008011,2365350.008011,2365350.008011,2365350.008011,0.0,29661617.040634006,29661617.040634006,29661617.040634006,29661617.040634006,0.0,64240,26847,502,MQTT_Publish
9,53469,1883,tcp,mqtt,32.048637,9,5,3,3,0.280823,0.156013,0.436836,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,0,0,0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,379.8007970000001,29778450.965881,32048636.9133,4006079.614162,10421188.193847,4297.018051,1512697.935104,2018292.9039,504573.225975,682043.677238,379.8007970000001,29778450.965881,32048636.9133,2465279.762562,8213733.679088,3.369878,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2270185.947418,2270185.947418,2270185.947418,2270185.947418,0.0,29778450.965881,29778450.965881,29778450.965881,29778450.965881,0.0,64240,26847,502,MQTT_Publish
